,down,yard,position,percent_run,aggression,epa
219,1.0,10.0,70.0,0.5,0.0,5.15
220,1.0,10.0,70.0,0.5,1.0,4.37
221,1.0,10.0,70.0,0.5,2.0,4.06
222,1.0,10.0,70.0,0.75,0.0,4.33
223,1.0,10.0,70.0,0.75,1.0,4.8
224,1.0,10.0,70.0,0.75,2.0,4.48
225,1.0,10.0,80.0,0.25,0.0,5.55
226,1.0,10.0,80.0,0.25,1.0,5.36
227,1.0,10.0,80.0,0.25,2.0,4.43
228,1.0,10.0,80.0,0.5,0.0,5.44
229,1.0,10.0,80.0,0.5,1.0,5.68
230,1.0,10.0,80.0,0.5,2.0,5.08
231,1.0,10.0,80.0,0.75,0.0,5.6
232,1.0,10.0,80.0,0.75,1.0,4.36
233,1.0,10.0,80.0,0.75,2.0,5.13
234,1.0,10.0,90.0,0.25,0.0,5.64
235,1.0,10.0,90.0,0.25,1.0,5.84
236,1.0,10.0,90.0,0.25,2.0,5.41
237,1.0,10.0,90.0,0.5,0.0,5.94
238,1.0,10.0,90.0,0.5,1.0,5.55
239,1.0,10.0,90.0,0.5,2.0,5.5
240,1.0,10.0,90.0,0.75,0.0,5.72
241,1.0,10.0,90.0,0.75,1.0,5.8
242,1.0,10.0,90.0,0.75,2.0,6.25
243,2.0,2.0,10.0,0.25,0.0,0.7
244,2.0,2.0,10.0,0.25,1.0,0.75
245,2.0,2.0,10.0,0.25,2.0,-0.13
246,2.0,2.0,10.0,0.5,0.0,-0.23
247,2.0,2.0,10.0,0.5,1.0,0.9
248,2.0,2.0,10.0,0.5,2.0,0.72
249,2.0,2.0,10.0,0.75,0.0,0.32
250,2.0,2.0,10.0,0.75,1.0,-0.46
251,2.0,2.0,10.0,0.75,2.0,0.73
252,2.0,2.0,20.0,0.25,0.0,1.32
253,2.0,2.0,20.0,0.25,1.0,0.49
254,2.0,2.0,20.0,0.25,2.0,-0.56
255,2.0,2.0,20.0,0.5,0.0,-0.06
256,2.0,2.0,20.0,0.5,1.0,1.45
257,2.0,2.0,20.0,0.5,2.0,1.54
258,2.0,2.0,20.0,0.75,0.0,0.35
259,2.0,2.0,20.0,0.75,1.0,1.07
260,2.0,2.0,20.0,0.75,2.0,2.29
261,2.0,2.0,30.0,0.25,0.0,2.0
262,2.0,2.0,30.0,0.25,1.0,0.75
263,2.0,2.0,30.0,0.25,2.0,0.75
264,2.0,2.0,30.0,0.5,0.0,0.26
265,2.0,2.0,30.0,0.5,1.0,1.78
266,2.0,2.0,30.0,0.5,2.0,2.38
267,2.0,2.0,30.0,0.75,0.0,2.34
268,2.0,2.0,30.0,0.75,1.0,1.79
269,2.0,2.0,30.0,0.75,2.0,0.74
270,2.0,2.0,40.0,0.25,0.0,2.59
271,2.0,2.0,40.0,0.25,1.0,2.72
272,2.0,2.0,40.0,0.25,2.0,2.29
273,2.0,2.0,40.0,0.5,0.0,2.6
274,2.0,2.0,40.0,0.5,1.0,1.65
275,2.0,2.0,40.0,0.5,2.0,1.54
276,2.0,2.0,40.0,0.75,0.0,2.5
277,2.0,2.0,40.0,0.75,1.0,2.46
278,2.0,2.0,40.0,0.75,2.0,1.91
279,2.0,2.0,50.0,0.25,0.0,2.98
280,2.0,2.0,50.0,0.25,1.0,2.57
281,2.0,2.0,50.0,0.25,2.0,3.45
282,2.0,2.0,50.0,0.5,0.0,3.01
283,2.0,2.0,50.0,0.5,1.0,3.47
284,2.0,2.0,50.0,0.5,2.0,2.75
285,2.0,2.0,50.0,0.75,0.0,3.12
286,2.0,2.0,50.0,0.75,1.0,1.75
287,2.0,2.0,50.0,0.75,2.0,2.89
288,2.0,2.0,60.0,0.25,0.0,3.87
289,2.0,2.0,60.0,0.25,1.0,4.36
290,2.0,2.0,60.0,0.25,2.0,3.49
291,2.0,2.0,60.0,0.5,0.0,3.88
292,2.0,2.0,60.0,0.5,1.0,3.18
293,2.0,2.0,60.0,0.5,2.0,3.17
294,2.0,2.0,60.0,0.75,0.0,4.06
295,2.0,2.0,60.0,0.75,1.0,3.59
296,2.0,2.0,60.0,0.75,2.0,3.64
297,2.0,2.0,70.0,0.25,0.0,4.77
298,2.0,2.0,70.0,0.25,1.0,3.99
299,2.0,2.0,70.0,0.25,2.0,4.15
300,2.0,2.0,70.0,0.5,0.0,3.72
301,2.0,2.0,70.0,0.5,1.0,4.52
302,2.0,2.0,70.0,0.5,2.0,3.36
303,2.0,2.0,70.0,0.75,0.0,4.44
304,2.0,2.0,70.0,0.75,1.0,4.96
305,2.0,2.0,70.0,0.75,2.0,3.49
306,2.0,2.0,80.0,0.25,0.0,5.74
307,2.0,2.0,80.0,0.25,1.0,5.08
308,2.0,2.0,80.0,0.25,2.0,5.18
309,2.0,2.0,80.0,0.5,0.0,5.11
310,2.0,2.0,80.0,0.5,1.0,4.97
311,2.0,2.0,80.0,0.5,2.0,4.0
312,2.0,2.0,80.0,0.75,0.0,5.76
313,2.0,2.0,80.0,0.75,1.0,5.91
314,2.0,2.0,80.0,0.75,2.0,4.76
315,2.0,2.0,90.0,0.25,0.0,6.24
316,2.0,2.0,90.0,0.25,1.0,5.99
317,2.0,2.0,90.0,0.25,2.0,6.02
318,2.0,2.0,90.0,0.5,0.0,6.22
319,2.0,2.0,90.0,0.5,1.0,6.24
320,2.0,2.0,90.0,0.5,2.0,6.29
321,2.0,2.0,90.0,0.75,0.0,6.14
322,2.0,2.0,90.0,0.75,1.0,6.18
323,2.0,2.0,90.0,0.75,2.0,5.6
324,2.0,5.0,10.0,0.25,0.0,-1.61
325,2.0,5.0,10.0,0.25,1.0,0.04
326,2.0,5.0,10.0,0.25,2.0,-0.07
327,2.0,5.0,10.0,0.5,0.0,-0.62
328,2.0,5.0,10.0,0.5,1.0,0.3
329,2.0,5.0,10.0,0.5,2.0,1.06
330,2.0,5.0,10.0,0.75,0.0,-0.36
331,2.0,5.0,10.0,0.75,1.0,-1.07
332,2.0,5.0,10.0,0.75,2.0,-1.21
333,2.0,5.0,20.0,0.25,0.0,0.83
334,2.0,5.0,20.0,0.25,1.0,0.59
335,2.0,5.0,20.0,0.25,2.0,0.38
336,2.0,5.0,20.0,0.5,0.0,0.49
337,2.0,5.0,20.0,0.5,1.0,0.01
338,2.0,5.0,20.0,0.5,2.0,0.05
339,2.0,5.0,20.0,0.75,0.0,0.55
340,2.0,5.0,20.0,0.75,1.0,1.39
341,2.0,5.0,20.0,0.75,2.0,1.58
342,2.0,5.0,30.0,0.25,0.0,1.45
343,2.0,5.0,30.0,0.25,1.0,1.05
344,2.0,5.0,30.0,0.25,2.0,2.15
345,2.0,5.0,30.0,0.5,0.0,0.45
346,2.0,5.0,30.0,0.5,1.0,0.63
347,2.0,5.0,30.0,0.5,2.0,0.74
348,2.0,5.0,30.0,0.75,0.0,1.37
349,2.0,5.0,30.0,0.75,1.0,1.4
350,2.0,5.0,30.0,0.75,2.0,0.8
351,2.0,5.0,40.0,0.25,0.0,2.91
352,2.0,5.0,40.0,0.25,1.0,2.97
353,2.0,5.0,40.0,0.25,2.0,2.14
354,2.0,5.0,40.0,0.5,0.0,1.14
355,2.0,5.0,40.0,0.5,1.0,2.92
356,2.0,5.0,40.0,0.5,2.0,2.43
357,2.0,5.0,40.0,0.75,0.0,0.8
358,2.0,5.0,40.0,0.75,1.0,1.42
359,2.0,5.0,40.0,0.75,2.0,2.56
360,2.0,5.0,50.0,0.25,0.0,2.6
361,2.0,5.0,50.0,0.25,1.0,3.21
362,2.0,5.0,50.0,0.25,2.0,1.77
363,2.0,5.0,50.0,0.5,0.0,2.08
364,2.0,5.0,50.0,0.5,1.0,3.1
365,2.0,5.0,50.0,0.5,2.0,2.62
366,2.0,5.0,50.0,0.75,0.0,3.11
367,2.0,5.0,50.0,0.75,1.0,2.46
368,2.0,5.0,50.0,0.75,2.0,2.42
369,2.0,5.0,60.0,0.25,0.0,3.75
370,2.0,5.0,60.0,0.25,1.0,3.33
371,2.0,5.0,60.0,0.25,2.0,4.62
372,2.0,5.0,60.0,0.5,0.0,3.49
373,2.0,5.0,60.0,0.5,1.0,3.42
374,2.0,5.0,60.0,0.5,2.0,2.89
375,2.0,5.0,60.0,0.75,0.0,3.28
376,2.0,5.0,60.0,0.75,1.0,3.28
377,2.0,5.0,60.0,0.75,2.0,3.08
378,2.0,5.0,70.0,0.25,0.0,3.72
379,2.0,5.0,70.0,0.25,1.0,3.6
380,2.0,5.0,70.0,0.25,2.0,4.1
381,2.0,5.0,70.0,0.5,0.0,4.38
382,2.0,5.0,70.0,0.5,1.0,3.66
383,2.0,5.0,70.0,0.5,2.0,3.63
384,2.0,5.0,70.0,0.75,0.0,3.63
385,2.0,5.0,70.0,0.75,1.0,3.47
386,2.0,5.0,70.0,0.75,2.0,3.31
387,2.0,5.0,80.0,0.25,0.0,5.0
388,2.0,5.0,80.0,0.25,1.0,4.94
389,2.0,5.0,80.0,0.25,2.0,4.15
390,2.0,5.0,80.0,0.5,0.0,5.46
391,2.0,5.0,80.0,0.5,1.0,4.65
392,2.0,5.0,80.0,0.5,2.0,4.37
393,2.0,5.0,80.0,0.75,0.0,4.8
394,2.0,5.0,80.0,0.75,1.0,5.71
395,2.0,5.0,80.0,0.75,2.0,5.08
396,2.0,5.0,90.0,0.25,0.0,5.52
397,2.0,5.0,90.0,0.25,1.0,5.76
398,2.0,5.0,90.0,0.25,2.0,5.27
399,2.0,5.0,90.0,0.5,0.0,5.54
400,2.0,5.0,90.0,0.5,1.0,5.64
401,2.0,5.0,90.0,0.5,2.0,5.73
402,2.0,5.0,90.0,0.75,0.0,5.54
403,2.0,5.0,90.0,0.75,1.0,5.82
404,2.0,5.0,90.0,0.75,2.0,5.13
405,2.0,10.0,10.0,0.25,0.0,-0.46
406,2.0,10.0,10.0,0.25,1.0,-0.51
407,2.0,10.0,10.0,0.25,2.0,0.15
408,2.0,10.0,10.0,0.5,0.0,-0.72
409,2.0,10.0,10.0,0.5,1.0,-0.45
410,2.0,10.0,10.0,0.5,2.0,-0.26
411,2.0,10.0,10.0,0.75,0.0,-1.21
412,2.0,10.0,10.0,0.75,1.0,-1.04
413,2.0,10.0,10.0,0.75,2.0,-0.91
414,2.0,10.0,20.0,0.25,0.0,0.86
415,2.0,10.0,20.0,0.25,1.0,-0.95
416,2.0,10.0,20.0,0.25,2.0,0.7
417,2.0,10.0,20.0,0.5,0.0,-0.14
418,2.0,10.0,20.0,0.5,1.0,1.16
419,2.0,10.0,20.0,0.5,2.0,-0.47
420,2.0,10.0,20.0,0.75,0.0,0.57
421,2.0,10.0,20.0,0.75,1.0,0.16
422,2.0,10.0,20.0,0.75,2.0,-0.52
423,2.0,10.0,30.0,0.25,0.0,0.71
424,2.0,10.0,30.0,0.25,1.0,0.79
425,2.0,10.0,30.0,0.25,2.0,1.02
426,2.0,10.0,30.0,0.5,0.0,1.06
427,2.0,10.0,30.0,0.5,1.0,0.97
428,2.0,10.0,30.0,0.5,2.0,0.14
429,2.0,10.0,30.0,0.75,0.0,0.74
430,2.0,10.0,30.0,0.75,1.0,1.32
431,2.0,10.0,30.0,0.75,2.0,1.49
432,2.0,10.0,40.0,0.25,0.0,1.07
433,2.0,10.0,40.0,0.25,1.0,1.55
434,2.0,10.0,40.0,0.25,2.0,1.45
435,2.0,10.0,40.0,0.5,0.0,1.82
436,2.0,10.0,40.0,0.5,1.0,2.8
437,2.0,10.0,40.0,0.5,2.0,0.84
438,2.0,10.0,40.0,0.75,0.0,0.96
439,2.0,10.0,40.0,0.75,1.0,1.68
440,2.0,10.0,40.0,0.75,2.0,2.15
441,2.0,10.0,50.0,0.25,0.0,2.76
442,2.0,10.0,50.0,0.25,1.0,2.43
443,2.0,10.0,50.0,0.25,2.0,1.96
444,2.0,10.0,50.0,0.5,0.0,2.35
445,2.0,10.0,50.0,0.5,1.0,3.42
446,2.0,10.0,50.0,0.5,2.0,1.35
447,2.0,10.0,50.0,0.75,0.0,2.8
448,2.0,10.0,50.0,0.75,1.0,0.98
449,2.0,10.0,50.0,0.75,2.0,1.16
450,2.0,10.0,60.0,0.25,0.0,1.96
451,2.0,10.0,60.0,0.25,1.0,3.46
452,2.0,10.0,60.0,0.25,2.0,3.17
453,2.0,10.0,60.0,0.5,0.0,2.02
454,2.0,10.0,60.0,0.5,1.0,2.0
455,2.0,10.0,60.0,0.5,2.0,2.94
456,2.0,10.0,60.0,0.75,0.0,2.15
457,2.0,10.0,60.0,0.75,1.0,1.67
458,2.0,10.0,60.0,0.75,2.0,2.47
459,2.0,10.0,70.0,0.25,0.0,3.83
460,2.0,10.0,70.0,0.25,1.0,3.49
461,2.0,10.0,70.0,0.25,2.0,3.59
462,2.0,10.0,70.0,0.5,0.0,3.45
463,2.0,10.0,70.0,0.5,1.0,3.67
464,2.0,10.0,70.0,0.5,2.0,2.7
465,2.0,10.0,70.0,0.75,0.0,4.06
466,2.0,10.0,70.0,0.75,1.0,3.66
467,2.0,10.0,70.0,0.75,2.0,4.01
